Catalog,Opus,Number,Peters,Date,Ensemble,Label,Issue,Notes
001_0,1,0,,1974,Aeolian Quartet,London,STS 15328--STS 15832,Also issued as Argo HDNM 52--HDNM 56; re-released in 1997 as 455 261-2 and in 2009 as Decca 478 1267
001_0,1,0,,2000,Angeles Quartet,Philips,464 650-2,Re-released in 2012 as Decca 478 3695 (478 3782--478 3802)
001_0,1,0,,2008,Auryn-Quartett,Tacet,167,
001_0,1,0,,2006,Buchberger Quartett,Brilliant Classics,93650,Re-released in 2008 as 93782/93
001_0,1,0,,1964,Dékany Quartet,Vox,SVBX 556,Also issued as VBX 56
001_0,1,0,,1986,English String Quartet,Meridian,ECD 84117,
001_0,1,0,,1972,Fine Arts Quartet,Vox,SVBX 597,
001_0,1,0,,2004,Fine Arts Quartet,Music & Arts,CD-1154,Recording of broadcast performance between 1967 and 1973
001_0,1,0,,1995,Hamburg Soloists,Arte Nova,74321 30472 2,Issue number of 4-disc set: 74321 31682 2
001_0,1,0,,1990,Kodály Vonósnégyes,Naxos,8.550399,
001_0,1,0,,1997,Petersen Quartett,Capriccio,10 786--10 787,
001_0,1,0,,1952,Schneider Quartet,Haydn Society,HSQ-1,Issue number of 3-disc set: HSQ-A; re-issued in 1963 as HS(T) 9075--HS(T) 9077 and in 2014 as Music & Arts CD-1281
001_0,1,0,,1990,Tátrai Vonósnégyes,Hungaroton,HCD 31089--HCD 31091,
001_1,1,1,4,1974,Aeolian Quartet,London,STS 15328--STS 15832,Also issued as Argo HDNM 52--HDNM 56; re-issued in 2009 as Decca 478 1267
001_1,1,1,4,2000,Angeles Quartet,Philips,464 650-2,Re-released in 2012 as Decca 478 3695 (478 3782--478 3802)
001_1,1,1,4,2008,Auryn-Quartett,Tacet,167,
001_1,1,1,4,2006,Buchberger Quartett,Brilliant Classics,93650,Re-released in 2008 as 93782/92
001_1,1,1,4,1988,Caspar da Salo Quartett,Digital Concerto,CCT 618,"Re-released in 1988 as Pilz CD 160209, in 1989 as Aurophon AU 31407, in the 1990s as Masters Classic CLS 4033 and Pilz 140 209-2, in 1992 as Point Productions 2550392 and in 1994 as Onyx Classix 66552 and Point Classics 2650392"
001_1,1,1,4,1964,Dékany Quartet,Vox,SVBX 555,Also issued as VBX 55; released in 1996 as CDX 5113
001_1,1,1,4,2000,Delmé String Quartet,Klavier,KCD 11102,
001_1,1,1,4,2016,Goldmund Quartet,Naxos,8.573701,
001_1,1,1,4,1983,Hagen-Quartett,Philips,411 062-1 (411 063-1--411 064-1),Recorded in 1982
001_1,1,1,4,1989,Hagen-Quartett,Deutsche Grammophon,423 622-2,Recorded in 1988
001_1,1,1,4,1995,Hamburg Soloists,Arte Nova,74321 30471 2,Issue number of 4-disc set: 74321 31682 2; re-released in 1997 as CDC 102
001_1,1,1,4,1979,Instrumentisten Wien,Musical Heritage Society,MHS 3995,
001_1,1,1,4,1990,Kodály Vonósnégyes,Naxos,8.550398,
001_1,1,1,4,1997,Petersen Quartett,Capriccio,10 786--10 787,
001_1,1,1,4,1939,Quatuor Pro Arte,Victor,M 595,"Re-released in 1994 as Testament SBT 3055, in 1998 as Strings QT99383, in 2002 as Classica d'Oro CDO 4011 and in 2017 as Warner Classics 0190295869182"
001_1,1,1,4,1994,Royal Philharmonic Chamber Ensemble,Tring,TRP028,Re-released in 1999 as Platinum 2862 and in 2000 as Trumpets of Jericho 204428-201
001_1,1,1,4,1952,Schneider Quartet,Haydn Society,HSQ-1,Issue number of 3-disc set: HSQ-A; re-issued in 1963 as HS(T) 9075--HS(T) 9077 and in 2014 as Music & Arts CD-1281
